date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:40:29	51599/51599	---M--	200	added ('OK')	image/jpeg	etag:%22c98f-6576e842-fdeb30d6646e167f;;;%22	https://tcrr.in/img/b3.jpg	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/b3.jpg	(from https://tcrr.in/)
10:40:29	25671/25671	---M-Z	200	added ('OK')	text/html	etag:%226447-6576e842-a220e32e54eb9de5;gz%22	https://tcrr.in/the-future-of-real-estate-development-in-pune.html	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/the-future-of-real-estate-development-in-pune.html	(from https://tcrr.in/)
10:40:29	51667/51667	---M--	200	added ('OK')	image/png	etag:%22c9d3-6576e842-7d3e343513817cfa;;;%22	https://tcrr.in/img/ft-logo.png	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/ft-logo.png	(from https://tcrr.in/)
10:40:29	21628/21628	---M-Z	200	added ('OK')	text/html	etag:%22547c-6576e842-51da37ac326444ab;gz%22	https://tcrr.in/service.html	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/service.html	(from https://tcrr.in/)
10:40:29	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-65552856-a86ca43da3e0ed59;gz%22	https://tcrr.in/maximizing-your-real-estate-investment.html	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/maximizing-your-real-estate-investment.html	(from https://tcrr.in/)
10:40:30	85578/85578	---M-Z	200	added ('OK')	application/x-javascript	etag:%2214e4a-6576e842-1e8896cbdb5f38a0;gz%22	https://tcrr.in/js/jquery-2.2.4.min.js	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/js/jquery-2.2.4.min.js	(from https://tcrr.in/)
10:40:30	73863/73863	---M-Z	200	added ('OK')	application/x-javascript	etag:%2212087-6576e842-cf8e5539c8877659;gz%22	https://tcrr.in/js/bootstrap.min.js	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/js/bootstrap.min.js	(from https://tcrr.in/)
10:40:30	35324/35324	---M-Z	200	added ('OK')	application/x-javascript	etag:%2289fc-6576e842-4a3634c7276cdf18;gz%22	https://tcrr.in/js/isotope.pkgd.min.js	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/js/isotope.pkgd.min.js	(from https://tcrr.in/)
10:40:30	20216/20216	---M-Z	200	added ('OK')	application/x-javascript	etag:%224ef8-6576e842-7413c55e6910fdc0;gz%22	https://tcrr.in/js/jquery.magnific-popup.min.js	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/js/jquery.magnific-popup.min.js	(from https://tcrr.in/)
10:40:31	40401/40401	---M-Z	200	added ('OK')	application/x-javascript	etag:%229dd1-6576e842-451c37ff789aafa1;gz%22	https://tcrr.in/js/owl.carousel.min.js	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/js/owl.carousel.min.js	(from https://tcrr.in/)
10:40:31	3008/3008	---M-Z	200	added ('OK')	application/x-javascript	etag:%22bc0-6576e842-a477bc40c1910673;gz%22	https://tcrr.in/js/owl.animate.js	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/js/owl.animate.js	(from https://tcrr.in/)
10:40:31	2467/2467	---M-Z	200	added ('OK')	application/x-javascript	etag:%229a3-6576e842-e1343c85be7f9784;gz%22	https://tcrr.in/js/jquery.scrollUp.min.js	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/js/jquery.scrollUp.min.js	(from https://tcrr.in/)
10:40:31	1067/1067	---M-Z	200	added ('OK')	application/x-javascript	etag:%2242b-6576e842-4ef9e5cfe9dbccc5;gz%22	https://tcrr.in/js/jquery.counterup.min.js	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/js/jquery.counterup.min.js	(from https://tcrr.in/)
10:40:31	15414/15414	---M-Z	200	added ('OK')	application/x-javascript	etag:%223c36-6576e842-743e8752405125a9;gz%22	https://tcrr.in/js/modernizr.min.js	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/js/modernizr.min.js	(from https://tcrr.in/)
10:40:32	8044/8044	---M-Z	200	added ('OK')	application/x-javascript	etag:%221f6c-6576e842-43275fd673f36f1b;gz%22	https://tcrr.in/js/waypoints.min.js	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/js/waypoints.min.js	(from https://tcrr.in/)
10:40:32	4019/4019	---M-Z	200	added ('OK')	application/x-javascript	etag:%22fb3-6576e842-466aee85507caeb5;gz%22	https://tcrr.in/js/jquery.meanmenu.min.js	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/js/jquery.meanmenu.min.js	(from https://tcrr.in/)
10:40:32	5600/5600	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215e0-6576e842-ec49488bf1c131d8;gz%22	https://tcrr.in/js/imagesloaded.pkgd.min.js	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/js/imagesloaded.pkgd.min.js	(from https://tcrr.in/)
10:40:32	8558/8558	---M-Z	200	added ('OK')	application/x-javascript	etag:%22216e-6576e842-fd51e1a1ceaba400;gz%22	https://tcrr.in/js/custom.js	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/js/custom.js	(from https://tcrr.in/)
10:40:33	70807/70807	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2211497-6576e842-49ae054b44de7389;gz%22	https://tcrr.in/fonts/fontawesome-webfont.eot?v=4.4.0	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/fonts/fontawesome-webfont93e3.eot	(from https://tcrr.in/css/font-awesome.min.css)
10:40:33	70807/70807	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2211497-6576e842-49ae054b44de7389;gz%22	https://tcrr.in/fonts/fontawesome-webfont.eot?	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/fonts/fontawesome-webfontd41d.eot	(from https://tcrr.in/css/font-awesome.min.css)
10:40:33	66624/66624	---M--	200	added ('OK')	font/woff2	etag:%2210440-6576e842-23f047bdf8dc8845;;;%22	https://tcrr.in/fonts/fontawesome-webfont.woff2?v=4.4.0	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/fonts/fontawesome-webfont93e3.woff2	(from https://tcrr.in/css/font-awesome.min.css)
10:40:33	83588/83588	---M--	200	added ('OK')	application/font-woff	etag:%2214684-6576e842-f3b3f94843e51c99;;;%22	https://tcrr.in/fonts/fontawesome-webfont.woff?v=4.4.0	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/fonts/fontawesome-webfont93e3.woff	(from https://tcrr.in/css/font-awesome.min.css)
10:40:34	142072/142072	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2222af8-6576e842-27e399c961bf0f50;gz%22	https://tcrr.in/fonts/fontawesome-webfont.ttf?v=4.4.0	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/fonts/fontawesome-webfont93e3.ttf	(from https://tcrr.in/css/font-awesome.min.css)
10:40:34	365616/365616	---M-Z	200	added ('OK')	image/svg+xml	etag:%2259430-6576e842-40dc978e15cc6378;gz%22	https://tcrr.in/fonts/fontawesome-webfont.svg?v=4.4.0	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/fonts/fontawesome-webfont93e3.svg	(from https://tcrr.in/css/font-awesome.min.css)
10:40:35	537868/537868	---M--	200	added ('OK')	font/woff2	etag:%228350c-6576e842-517b42de5d0f78eb;;;%22	https://tcrr.in/fonts/icofont.woff2	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/fonts/icofont.woff2	(from https://tcrr.in/css/icofont.min.css)
10:40:35	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-65552856-a86ca43da3e0ed59;gz%22	https://tcrr.in/css/owl.video.play.png	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/css/owl.video.play.52.delayed	(from https://tcrr.in/css/owl.carousel.min.css)
10:40:36	6938/6938	---M--	200	added ('OK')	image/gif	etag:%221b1a-6576e842-5ea9688b28ec881d;;;%22	https://tcrr.in/img/preloader.gif	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/preloader.gif	(from https://tcrr.in/css/main.css)
10:40:36	645604/645604	---M--	200	added ('OK')	application/font-woff	etag:%229d9e4-6576e842-80bc3b4bb4af35ae;;;%22	https://tcrr.in/fonts/icofont.woff	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/fonts/icofont.woff	(from https://tcrr.in/css/icofont.min.css)
10:40:36	2174/2174	---M--	200	added ('OK')	image/png	etag:%2287e-6576e842-1abcda068f7bc9f;;;%22	https://tcrr.in/img/shape/feature-shape.png	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/shape/feature-shape.png	(from https://tcrr.in/css/main.css)
10:40:36	18437/18437	---M--	200	added ('OK')	image/png	etag:%224805-6576e842-cbc887755aad1dc;;;%22	https://tcrr.in/img/counter-bg.png	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/counter-bg.png	(from https://tcrr.in/css/main.css)
10:40:37	2205/2205	---M--	200	added ('OK')	image/png	etag:%2289d-6576e842-bb68fd37a6a568f;;;%22	https://tcrr.in/img/shape/service-hover.png	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/shape/service-hover.png	(from https://tcrr.in/css/main.css)
